id,url_place,title,category,address,phoneNumber,completePhoneNumber,domain,url,coor,stars,reviews,source_query
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJA0Yg9AZLQpERxoXqP-coUx4,https://www.google.com/maps/place/?q=place_id:ChIJA0Yg9AZLQpERxoXqP-coUx4,Polleria el Cotahuasino,Restaurante especializado en pollo,"HFG4+FH7, Av. Javier Pérez de Cuéllar, Jacobo Hunter 04011",989 313 244,+51 989 313 244,,,"-16.4238286,-71.5435856",4.3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJA0Yg9AZLQpERxoXqP-coUx4,https://www.google.com/maps/place/?q=place_id:ChIJA0Yg9AZLQpERxoXqP-coUx4,Polleria el Cotahuasino,Restaurante especializado en pollo,"HFG4+FH7, Av. Javier Pérez de Cuéllar, Jacobo Hunter 04011",989 313 244,+51 989 313 244,,,"-16.4238286,-71.5435856",4.3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJz9E8bgD7apERlYSn-xbxi9g,https://www.google.com/maps/place/?q=place_id:ChIJz9E8bgD7apERlYSn-xbxi9g,Pollería d'puchungo,Restaurante de comida rápida,"Q4Q6+33Q, Cotahuasi 04810",958 819 699,+51 958 819 699,,,"-15.2122902,-72.8897674",4,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJTZt4MM77apERnlynHH7ZMa4,https://www.google.com/maps/place/?q=place_id:ChIJTZt4MM77apERnlynHH7ZMa4,Restaurante Caldo de Gallina y Pollo Delicias,Restaurante de sopas,"Q4Q5+6PG, Calle Cabildo, Cotahuasi 04810",,,,,"-15.2119384,-72.8906865",1,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
ChIJP3UT0lb7apERO2U4AxpJQME,https://www.google.com/maps/place/?q=place_id:ChIJP3UT0lb7apERO2U4AxpJQME,Restaurante y Pollería Cotahuasi,Restaurante,"Q4Q5+6P8, Cotahuasi 04810",968 394 699,+51 968 394 699,,,"-15.2119678,-72.8906714",3,,"Pollería en el distrito de Cotahuasi, La Uniòn, Arequipa, Perú"
